Time	"Time Code"	"Country Name"	"Country Code"	"Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE]"	"CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD]"	"Access to electricity (% of population) [EG.ELC.ACCS.ZS]"	"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]"	"GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG]"	"Industry (including construction), value added per worker (constant 2010 US$) [NV.IND.EMPL.KD]"	"Agriculture, forestry, and fishing, value added per worker (constant 2010 US$) [NV.AGR.EMPL.KD]"	"Poverty gap at national poverty lines (%) [SI.POV.NAGP]"	"International tourism, receipts (% of total exports) [ST.INT.RCPT.XP.ZS]"	"Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS]"	"Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS]"	"Cause of death, by non-communicable diseases (% of total) [SH.DTH.NCOM.ZS]"	"Urban population (% of total population) [SP.URB.TOTL.IN.ZS]"	"Population, total [SP.POP.TOTL]"
2014	"YR2014"	"Cote d'Ivoire"	"CIV"	""	"0.151875703925227"	"61.9"	"76.0680666183925"	"6.10311564011174"	"10331.606146103"	"2235.67053676586"	""	"1.40586850644824"	"39.2746510609958"	"34.3705971529814"	""	"49.014"	"22647683"
2014	"YR2014"	"Croatia"	"HRV"	""	"0.179996443823827"	"100"	"26.0419767788032"	"0.320303400949101"	"29273.9966865408"	"10941.5914063084"	""	"37.9692974647055"	"45.2699474937254"	"43.3533410925015"	""	"55.923"	"4238389"
2014	"YR2014"	"Cuba"	"CUB"	""	""	"98.8988342285156"	"60.3635237013322"	"0.831466816994265"	"18514.6224914553"	"2773.30062762991"	""	""	"22.0839119222377"	"17.1902896250744"	""	"76.861"	"11306902"
2014	"YR2014"	"Curacao"	"CUW"	""	"1.3501851087032"	"100"	""	"-2.46219479272538"	""	""	""	"36.0405929338045"	"72.2413759801192"	"85.3287355824135"	""	"89.443"	"155909"
2014	"YR2014"	"Cyprus"	"CYP"	""	"0.233964535941"	"100"	"92.7126436781609"	"-0.219240256042653"	"26336.1998817216"	"18693.3370745217"	""	"20.1252850753147"	"62.0420920409904"	"60.2760480136831"	""	"67.031"	"1152285"
2014	"YR2014"	"Czech Republic"	"CZE"	""	"0.28409908161494"	"100"	"53.4008649055185"	"2.60703704295918"	"37014.8338146162"	"25667.4145158698"	""	"4.43445747875682"	"82.5456924295555"	"76.1812643131131"	""	"73.384"	"10525347"
2014	"YR2014"	"Denmark"	"DNK"	""	"0.123915096701974"	"100"	"41.8499875714641"	"1.10543346734364"	"125732.527327561"	"63772.8207952512"	""	"3.94928374232169"	"54.613119296736"	"47.6508016388626"	""	"87.41"	"5643475"
2014	"YR2014"	"Djibouti"	"DJI"	""	""	"56.4439735412598"	""	"7.05376451559148"	""	""	""	"4.8359676809295"	"34.9421864727948"	"57.9805870296609"	""	"77.314"	"898696"
2014	"YR2014"	"Dominica"	"DMA"	""	"0.172075628024038"	"99.4693450927734"	""	"4.28756904519231"	""	""	""	"79.1842267589772"	"35.2247562731857"	"45.9333989407313"	""	"69.28"	"71085"
2014	"YR2014"	"Dominican Republic"	"DOM"	""	"0.154697827114284"	"98.470979"	"86.6606273355226"	"6.39764087171504"	"26954.0108232678"	"8315.92007491636"	""	"33.2102450361596"	"25.4468906972836"	"30.706790459534"	""	"77.67"	"10165178"
